cluster_id,x,y,z
1,23.4129,14.8548,0.26452
1,23.424,14.7509,0.254473
1,23.4179,14.6361,0.244294
1,23.3778,14.4999,0.233813
1,23.4143,14.4138,0.224301
1,23.3932,14.2911,0.214226
1,23.3893,14.1853,0.204908
1,23.3671,14.0632,0.195011
1,23.338,13.8303,0.175652
1,23.244,13.869,1.10213
1,23.1107,12.3701,0.94759
1,23.1043,12.1723,0.92771
1,23.3642,15.9194,1.32969
1,23.3621,15.8022,1.31616
1,23.3477,15.6882,1.30326
1,23.3511,15.576,1.29029
1,23.3324,16.1496,0.390099
1,23.3681,13.9561,0.185432
1,23.2777,14.0167,-0.726985
1,23.3594,13.7422,0.166881
1,23.3293,13.6229,0.157741
1,23.3061,13.2933,0.130013
1,23.1587,12.8011,0.0946567
1,23.0623,12.5428,0.0769215
1,23.2513,14.4058,1.16056
1,23.2259,14.1732,1.13548
1,23.2331,13.9687,1.11309
1,23.2953,13.7945,1.09327
1,23.3576,13.732,1.08557
1,23.3888,13.4399,1.05403
1,23.3232,13.5135,0.148427
1,23.2854,13.0804,0.113017
1,23.0532,12.4369,0.0683813
1,23.4003,13.5519,1.06571
1,23.3734,13.326,1.04227
1,23.2625,12.7535,0.984771
1,23.1204,12.4707,0.957696
1,23.0749,11.7628,0.887306
1,23.336,12.8978,0.998651
1,23.0552,12.6399,0.0854583
1,23.1869,11.1535,0.827192
1,23.2039,11.0664,0.818771
1,23.4813,13.2828,1.95367
1,23.4421,12.9575,1.91372
1,23.4866,13.3902,1.967
1,23.5084,13.5079,1.98194
1,23.4569,13.5768,1.98978
1,23.1862,12.6081,1.86716
1,23.1895,12.4094,1.84342
1,23.1783,12.3035,1.83063
1,23.1697,12.2045,1.81876
1,23.1289,11.9899,1.79279
1,23.1176,11.8859,1.78044
1,23.1646,12.1028,1.8067
1,23.1097,12.2697,0.937453
1,23.3396,13.0027,1.00945
1,23.0639,12.0513,0.916058
1,23.3393,13.1057,1.02017
1,23.3591,13.2135,1.03067
1,23.2986,13.192,0.122055
1,23.3839,13.6475,1.07613
1,23.1358,9.92445,0.714197
1,23.1059,11.7821,1.76817
1,23.1201,11.6924,1.75811
1,23.1139,11.4957,1.73547
1,23.1039,11.3945,1.72376
1,23.0864,11.2898,1.71156
1,23.0896,11.2008,1.70162
1,23.2542,11.0974,1.6937
1,23.2979,11.0238,1.68654
1,23.0562,11.9487,0.905915
1,23.1768,9.23524,1.49593
1,23.1,9.03034,1.47365
1,23.1333,8.95978,1.46773
1,23.1095,8.77405,1.44914
1,22.8319,7.73221,1.34441
1,23.2943,16.9749,-0.510262
1,23.0642,11.6597,0.877293
1,23.0424,11.5513,0.866923
1,23.0499,11.8472,0.895917
1,23.2988,13.9221,-0.735221
1,23.2424,13.7852,-0.740543
1,23.2807,13.7074,-0.748859
1,23.3493,14.9321,-0.667115
1,23.4171,15.09,-0.660897
1,23.378,15.1769,-0.651557
1,22.9995,12.7139,-0.795541
1,22.9808,12.6015,-0.801733
1,22.9738,12.4963,-0.808276
1,22.9715,12.3942,-0.814933
1,22.9649,12.2951,-0.821053
1,22.946,12.1847,-0.826994
1,23.4853,16.0483,-0.595653
1,23.3949,16.0959,-0.584937
1,23.2857,16.135,-0.573375
1,22.9229,11.8796,-0.845393
1,23.2719,16.3617,-0.555204
1,22.9178,11.6807,-0.85799
1,23.2715,16.4806,-0.546169
1,22.8987,11.4758,-0.86984
1,23.2883,16.7334,-0.528271
1,22.9326,11.3096,-0.882945
1,23.0391,11.2676,-0.89327
1,23.085,11.1943,-0.901203
1,23.2797,16.8481,-0.518818
1,21.541,9.37059,-0.90487
1,23.2717,12.9691,0.104064
1,23.3166,13.4043,0.139194
1,22.9846,11.6184,0.00356603
1,22.991,11.5246,-0.00429702
1,23.1758,11.1461,-0.042073
1,23.0345,12.3312,0.0602942
1,23.0263,12.2268,0.0519114
1,23.019,12.1282,0.0440111
1,22.9923,12.0146,0.035723
1,22.9721,11.9051,0.0275371
1,22.992,11.8176,0.0195153
1,22.9956,11.7217,0.0115182
1,22.965,11.4143,-0.0121181
1,23.1106,9.99823,-0.127917
1,23.0397,11.4533,0.857415
1,23.0363,11.3601,0.848423
1,23.0344,11.2679,0.839561
1,23.075,11.1929,0.831981
1,23.199,10.9686,0.80959
1,23.1051,9.72828,0.697073
1,23.1041,9.55101,0.681614
1,23.1422,9.3913,0.667654
1,23.0363,8.90605,0.627097
1,23.0798,8.57996,0.600142
1,23.1188,9.82545,0.705541
1,23.0946,9.63291,0.688791
1,23.1096,9.46757,0.674366
1,23.1143,9.20014,0.651489
1,23.0371,9.08362,0.641959
1,23.091,8.67207,0.607614
1,23.1012,8.85868,1.45703
1,23.1252,8.69686,1.44224
1,23.0418,8.29931,0.577615
1,22.9762,8.01619,0.555409
1,22.7486,7.60789,0.524186
1,23.1657,11.1485,1.69743
1,23.2662,10.9085,1.67314
1,23.2787,10.8201,1.66375
1,23.1926,9.86913,1.56035
1,23.1858,9.41815,1.51436
1,23.212,9.78661,1.55238
1,23.195,9.59782,1.5327
1,23.2098,9.51385,1.52462
1,23.1791,9.14702,1.48731
1,20.6914,7.06291,1.95221
1,20.1437,7.16426,1.92776
1,23.2202,9.69929,1.54367
1,23.0573,9.00305,0.635116
1,23.0942,8.33618,1.40739
1,23.1117,8.25617,1.40054
1,22.7675,6.97291,1.27693
1,22.7485,6.80255,1.26221
1,22.8523,6.34396,1.22921
1,22.8289,7.81139,1.35138
1,22.8164,7.3954,1.31439
1,22.7856,7.47266,1.32008
1,22.7318,6.71554,1.25454
1,22.7794,7.29966,1.30494
1,22.7496,6.88496,1.26903
1,22.7369,7.51979,0.517512
1,22.7358,6.63509,1.24816
1,22.723,6.55383,1.24119
1,22.7035,6.38973,1.22746
1,20.1717,8.07047,1.29698
1,19.918,7.29641,1.21463
1,20.7812,3.30845,1.64852
1,23.2754,16.6033,-0.537157
1,23.2605,16.2348,-0.563876
